what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431329593254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431329601271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431329602617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431329900036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431329909299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431329911012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431329926370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431329928804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431329945547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431329950719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431329953386
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431329956537
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431329958061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431329959366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330029561
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431330047122
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330047328
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431330060664
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330060858
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431330067189
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330067381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431330116677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431330134364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330136367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330138223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330147151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330162462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330164367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330170727
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330190547
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330197768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330221863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330223752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330247123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330277368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330278935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330286431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330295808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330297427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330340863
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330346358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330358119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330360179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330370189
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1431330378031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330379028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330380847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330393684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330396353
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1431330400531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330401133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330402651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330409054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330410301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330413788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330416443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330422932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1431330433827
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1431330434329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431330437749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330438680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330440826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330450295
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1431330455812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330456342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330457556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330463413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330464723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330465193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330465735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330466282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330466750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330467602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330469399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330498745
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330504633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330525018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330560331
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431330562408
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1431330569161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431330576378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431330578992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330580760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330583354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330615819
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330618710
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330620496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330622525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330623240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330624072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330625463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330680205
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1431330682767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1431330684495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431330685827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431330687550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330689436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330690990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330705855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330708770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330715489
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330717229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330718808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1431330720342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1431330720549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1431330721048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330721949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330723548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330732842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330738554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330754608
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1431330756820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1431330758166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431330764359
error,log,,,"Unhandled event loop exception",1431330764834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431330766682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330768885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330770608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330790275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330790974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330813896
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431330816231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330817640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431330818301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431330819145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330820503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431330917630
